"","V1","match_id","year","slam","match_num","player1","player2","status","winner","event_name","round","court_name","court_id","player1id","player2id","nation1","nation2","player1_rank","player2_rank","pServeP1","pReceiveP1","pServeP2","pReceiveP2"
"63",62,"2011-ausopen-1306",2011,"ausopen",1306,"Alexandr Dolgopolov","Jo-Wilfried Tsonga","Complete",1,"Men's Singles","Round 3","Margaret Court Arena","C","atpd801","atpt786","UKR","FRA",NA,NA,0.654205607476635,0.439655172413793,0.560344827586207,0.345794392523365
"64",63,"2011-ausopen-1307",2011,"ausopen",1307,"Jurgen Melzer","Marcos Baghdatis","Retired",1,"Men's Singles","Round 3","Hisense Arena","B","atpm762","atpb837","AUT","CYP",11,21,NA,NA,NA,NA
"65",64,"2011-ausopen-1308",2011,"ausopen",1308,"Guillermo Garcia-Lopez","Andy Murray","Complete",2,"Men's Singles","Round 3","Rod Laver Arena","A","atpg476","atpmc10","ESP","GBR",NA,NA,0.449275362318841,0.293103448275862,0.706896551724138,0.550724637681159
"66",65,"2011-ausopen-1309",2011,"ausopen",1309,"Tomas Berdych","Richard Gasquet","Complete",1,"Men's Singles","Round 3","Margaret Court Arena","C","atpba47","atpg628","CZE","FRA",6,29,0.7375,0.435643564356436,0.564356435643564,0.2625
"67",66,"2011-ausopen-1310",2011,"ausopen",1310,"Kei Nishikori","Fernando Verdasco","Complete",2,"Men's Singles","Round 3","Hisense Arena","B","atpn552","atpv306","JPN","ESP",83,9,0.542168674698795,0.308641975308642,0.691358024691358,0.457831325301205
"68",67,"2011-ausopen-1311",2011,"ausopen",1311,"Nicolas Almagro","Ivan Ljubicic","Complete",1,"Men's Singles","Round 3","Show Court 2","D","atpa479","atpl360","ESP","CRO",14,17,0.795454545454545,0.298850574712644,0.701149425287356,0.204545454545455
"69",68,"2011-ausopen-1312",2011,"ausopen",1312,"Viktor Troicki","Novak Djokovic","Retired",2,"Men's Singles","Round 3","Hisense Arena","B","atpt840","atpd643","SRB","SRB",30,3,NA,NA,NA,NA
"70",69,"2011-ausopen-1313",2011,"ausopen",1313,"Andy Roddick","Robin Haase","Complete",1,"Men's Singles","Round 3","Hisense Arena","B","atpr485","atph756","USA","NED",8,62,0.710280373831776,0.408695652173913,0.591304347826087,0.289719626168224
"71",70,"2011-ausopen-1314",2011,"ausopen",1314,"Stanislas Wawrinka","Gael Monfils","Complete",1,"Men's Singles","Round 3","Rod Laver Arena","A","atpw367","atpmc65","SUI","FRA",19,12,0.673684210526316,0.466666666666667,0.533333333333333,0.326315789473684
"72",71,"2011-ausopen-1315",2011,"ausopen",1315,"Tommy Robredo","Sergiy Stakhovsky","Complete",1,"Men's Singles","Round 3","Show Court 3","E","atpr419","atpsc77","ESP","UKR",51,50,0.617647058823529,0.455284552845528,0.544715447154472,0.382352941176471
"73",72,"2011-ausopen-1316",2011,"ausopen",1316,"Xavier Malisse","Roger Federer","Complete",2,"Men's Singles","Round 3","Rod Laver Arena","A","atpm680","atpf324","BEL","SUI",45,2,0.458823529411765,0.373493975903614,0.626506024096386,0.541176470588235
